NAME: 	AlexandraP_1day_lhand
Completed cycles:	30
Failed cycles:	1
1	1	625
1	2	372
1	3	374
1	4	440
1	5	328
1	6	293
1	7	414
1	8	317
1	9	292
1	10	394
1	11	318
1	12	309
1	13	354
1	14	343
1	15	307
1	16	770
1	17	408
1	18	290
1	19	420
1	20	525
1	21	437
1	22	340
1	23	326
1	24	348
1	25	387
1	26	353
1	27	350
1	28	338
1	29	429
1	30	359
2	1	373
2	2	347
2	3	485
2	4	325
2	5	360
2	6	411
2	7	396
2	8	395
2	9	379
2	10	417
2	11	376
2	12	419
2	13	351
2	14	398
2	15	329
2	16	343
2	17	359
2	18	377
2	19	343
2	20	400
2	21	402
2	22	377
2	23	445
2	24	307
2	25	257
2	26	280
2	27	311
2	28	318
2	29	355
2	30	489
3	1	354
3	2	383
3	3	313
3	4	332
3	5	325
3	6	391
3	7	379
3	8	386
3	9	305
3	10	322
3	11	520
3	12	366
3	13	381
3	14	374
3	15	677
3	16	364
3	17	358
3	18	377
3	19	304
3	20	328
3	21	402
3	22	391
3	23	346
3	24	366
3	25	596
3	26	365
3	27	341
3	28	427
3	29	530
3	30	395
4	1	440
4	2	449
4	3	510
4	4	327
4	5	336
4	6	443
4	7	458
4	8	362
4	9	347
4	10	318
4	11	372
4	12	363
4	13	643
4	14	328
4	15	348
4	16	372
4	17	309
4	18	416
4	19	311
4	20	364
4	21	394
4	22	347
4	23	366
4	24	354
4	25	293
4	26	377
4	27	361
4	28	344
4	29	358
4	30	530
5	1	424
5	2	392
5	3	330
5	4	382
5	5	371
5	6	924
5	7	323
5	8	292
5	9	365
5	10	394
5	11	353
5	12	283
5	13	335
5	14	392
5	15	376
5	16	338
5	17	413
5	18	409
5	19	369
5	20	290
5	21	340
5	22	296
5	23	341
5	24	635
5	25	391
5	26	368
5	27	436
5	28	431
5	29	395
5	30	389
6	1	309
6	2	356
6	3	355
6	4	301
6	5	405
6	6	376
6	7	427
6	8	417
6	9	327
6	10	384
6	11	338
6	12	378
6	13	442
6	14	355
6	15	334
6	16	350
6	17	319
6	18	341
6	19	332
6	20	380
6	21	373
6	22	322
6	23	401
6	24	350
6	25	315
6	26	433
6	27	366
6	28	454
6	29	346
6	30	429
7	1	273
7	2	380
7	3	318
7	4	355
7	5	296
7	6	387
7	7	306
7	8	323
7	9	411
7	10	400
7	11	787
7	12	414
7	13	428
7	14	378
7	15	366
7	16	374
7	17	391
7	18	349
7	19	430
7	20	289
7	21	449
7	22	310
7	23	365
7	24	400
7	25	327
7	26	452
7	27	390
7	28	872
7	29	365
7	30	438
8	1	603
8	2	718
8	3	474
8	4	429
8	5	371
8	6	433
8	7	383
8	8	373
8	9	387
8	10	355
8	11	590
8	12	369
8	13	397
8	14	577
8	15	497
8	16	411
8	17	471
8	18	370
8	19	463
8	20	474
8	21	408
8	22	417
8	23	436
8	24	370
8	25	352
8	26	780
8	27	382
8	28	498
8	29	504
8	30	468
9	1	429
9	2	413
9	3	380
9	4	412
9	5	360
9	6	387
9	7	392
9	8	373
9	9	435
9	10	373
9	11	323
9	12	382
9	13	476
9	14	432
9	15	412
9	16	430
9	17	433
9	18	374
9	19	367
9	20	426
9	21	437
9	22	402
9	23	409
9	24	356
9	25	378
9	26	386
9	27	419
9	28	331
9	29	401
9	30	401
10	1	251
10	2	406
10	3	379
10	4	394
10	5	392
10	6	457
10	7	399
10	8	344
10	9	369
10	10	407
10	11	369
10	12	319
10	13	385
10	14	327
10	15	446
10	16	350
10	17	630
10	18	363
10	19	372
10	20	382
10	21	368
10	22	427
10	23	552
10	24	416
10	25	382
10	26	491
10	27	428
10	28	335
10	29	426
10	30	508
11	1	354
11	2	418
11	3	379
11	4	402
11	5	530
11	6	449
11	7	424
11	8	314
11	9	404
11	10	334
11	11	407
11	12	377
11	13	395
11	14	425
11	15	473
11	16	588
11	17	480
11	18	383
11	19	375
11	20	572
11	21	393
11	22	800
11	23	404
11	24	424
11	25	777
11	26	359
11	27	389
11	28	492
11	29	431
11	30	403
12	1	358
12	2	343
12	3	483
12	4	337
12	5	344
12	6	416
12	7	303
12	8	383
12	9	425
12	10	444
12	11	448
12	12	457
12	13	455
12	14	341
12	15	414
12	16	428
12	17	387
12	18	608
12	19	301
12	20	373
12	21	525
12	22	366
12	23	354
12	24	458
