NAME: 	Alexandra_3day_rhand
Completed cycles:	34
Failed cycles:	1
1	1	601
1	2	288
1	3	339
1	4	314
1	5	362
1	6	294
1	7	315
1	8	315
1	9	360
1	10	395
1	11	321
1	12	282
1	13	349
1	14	319
1	15	338
1	16	331
1	17	383
1	18	398
1	19	287
1	20	282
1	21	367
1	22	316
1	23	288
1	24	277
1	25	390
1	26	284
1	27	276
1	28	291
1	29	316
1	30	230
2	1	433
2	2	419
2	3	371
2	4	366
2	5	318
2	6	303
2	7	348
2	8	341
2	9	368
2	10	298
2	11	354
2	12	386
2	13	331
2	14	312
2	15	353
2	16	359
2	17	371
2	18	347
2	19	357
2	20	309
2	21	364
2	22	374
2	23	359
2	24	395
2	25	364
2	26	313
2	27	290
2	28	360
2	29	339
2	30	309
3	1	331
3	2	319
3	3	426
3	4	356
3	5	402
3	6	351
3	7	349
3	8	331
3	9	427
3	10	362
3	11	371
3	12	359
3	13	313
3	14	325
3	15	379
3	16	360
3	17	320
3	18	332
3	19	305
3	20	343
3	21	383
3	22	321
3	23	341
3	24	366
3	25	333
3	26	300
3	27	320
3	28	353
3	29	372
3	30	332
4	1	407
4	2	410
4	3	368
4	4	382
4	5	337
4	6	365
4	7	336
4	8	373
4	9	352
4	10	744
4	11	391
4	12	334
4	13	332
4	14	333
4	15	374
4	16	308
4	17	297
4	18	374
4	19	352
4	20	289
4	21	335
4	22	423
4	23	388
4	24	343
4	25	289
4	26	321
4	27	383
4	28	281
4	29	337
4	30	333
5	1	298
5	2	406
5	3	356
5	4	347
5	5	363
5	6	336
5	7	294
5	8	288
5	9	285
5	10	297
5	11	299
5	12	407
5	13	420
5	14	317
5	15	352
5	16	368
5	17	467
5	18	345
5	19	349
5	20	277
5	21	406
5	22	339
5	23	329
5	24	310
5	25	348
5	26	355
5	27	405
5	28	295
5	29	385
5	30	306
6	1	368
6	2	361
6	3	332
6	4	366
6	5	357
6	6	375
6	7	328
6	8	313
6	9	348
6	10	313
6	11	371
6	12	377
6	13	312
6	14	339
6	15	288
6	16	341
6	17	345
6	18	329
6	19	374
6	20	332
6	21	410
6	22	321
6	23	312
6	24	313
6	25	430
6	26	574
6	27	379
6	28	316
6	29	442
6	30	400
7	1	379
7	2	372
7	3	350
7	4	371
7	5	342
7	6	310
7	7	288
7	8	360
7	9	376
7	10	351
7	11	334
7	12	335
7	13	350
7	14	309
7	15	261
7	16	306
7	17	372
7	18	301
7	19	301
7	20	305
7	21	321
7	22	376
7	23	376
7	24	362
7	25	306
7	26	332
7	27	334
7	28	325
7	29	395
7	30	360
8	1	490
8	2	326
8	3	357
8	4	364
