NAME: 	Alexey_3day_rhand
Completed cycles:	38
Failed cycles:	1
1	1	710
1	2	293
1	3	225
1	4	278
1	5	342
1	6	189
1	7	267
1	8	295
1	9	224
1	10	244
1	11	254
1	12	224
1	13	327
1	14	210
1	15	304
1	16	289
1	17	304
1	18	253
1	19	234
1	20	212
1	21	290
1	22	238
1	23	259
1	24	320
1	25	230
1	26	213
1	27	231
1	28	247
1	29	317
1	30	235
2	1	339
2	2	322
2	3	278
2	4	325
2	5	309
2	6	233
2	7	381
2	8	340
2	9	357
2	10	353
2	11	304
2	12	331
2	13	323
2	14	276
2	15	359
2	16	214
2	17	258
2	18	384
2	19	364
2	20	260
2	21	238
2	22	325
2	23	293
2	24	231
2	25	285
2	26	247
2	27	285
2	28	235
2	29	243
2	30	215
3	1	264
3	2	255
3	3	208
3	4	238
3	5	310
3	6	346
3	7	249
3	8	280
3	9	246
3	10	213
3	11	259
3	12	278
3	13	365
3	14	167
3	15	173
3	16	231
3	17	216
3	18	290
3	19	254
3	20	309
3	21	257
3	22	254
3	23	301
3	24	258
3	25	252
3	26	255
3	27	242
3	28	255
3	29	321
3	30	396
4	1	350
4	2	244
4	3	320
4	4	373
4	5	252
4	6	316
4	7	238
4	8	285
4	9	217
4	10	228
4	11	253
4	12	234
4	13	227
4	14	219
4	15	326
4	16	417
4	17	256
4	18	204
4	19	246
4	20	437
4	21	304
4	22	188
4	23	278
4	24	345
4	25	271
4	26	306
4	27	213
4	28	298
4	29	266
4	30	241
5	1	210
5	2	242
5	3	195
5	4	241
5	5	326
5	6	284
5	7	242
5	8	242
5	9	467
5	10	234
5	11	323
5	12	319
5	13	224
5	14	265
5	15	345
5	16	236
5	17	301
5	18	307
5	19	254
5	20	278
5	21	248
5	22	275
5	23	219
5	24	304
5	25	326
5	26	256
5	27	313
5	28	344
5	29	378
5	30	336
6	1	270
6	2	400
6	3	290
6	4	312
6	5	226
6	6	220
6	7	218
6	8	316
6	9	226
6	10	295
6	11	230
6	12	223
6	13	305
6	14	411
6	15	297
6	16	311
6	17	221
6	18	241
6	19	344
6	20	273
6	21	435
6	22	204
6	23	298
6	24	322
6	25	235
6	26	357
6	27	258
6	28	220
6	29	247
6	30	216
7	1	257
7	2	257
7	3	223
7	4	272
7	5	253
7	6	303
7	7	229
7	8	275
7	9	292
7	10	215
7	11	246
7	12	386
7	13	207
7	14	256
7	15	230
7	16	316
7	17	215
7	18	245
7	19	351
7	20	282
7	21	229
7	22	264
7	23	302
7	24	218
7	25	194
7	26	243
7	27	342
7	28	214
7	29	246
7	30	226
8	1	303
8	2	334
8	3	156
8	4	204
8	5	229
8	6	462
8	7	226
8	8	281
8	9	269
8	10	228
8	11	216
8	12	301
8	13	332
8	14	269
8	15	322
8	16	275
8	17	240
8	18	244
8	19	337
8	20	264
8	21	203
8	22	288
8	23	270
8	24	239
8	25	217
8	26	216
8	27	302
8	28	241
8	29	270
8	30	356
9	1	391
9	2	310
9	3	311
9	4	162
9	5	250
9	6	321
9	7	240
9	8	371
9	9	356
9	10	327
9	11	223
9	12	289
9	13	304
9	14	247
9	15	217
9	16	250
9	17	292
9	18	282
9	19	365
9	20	355
9	21	262
9	22	194
9	23	327
9	24	373
9	25	258
9	26	247
9	27	226
9	28	204
9	29	286
9	30	264
10	1	275
10	2	223
10	3	214
10	4	224
10	5	217
10	6	269
10	7	185
10	8	216
10	9	399
10	10	180
10	11	374
10	12	194
10	13	261
10	14	242
10	15	253
10	16	267
10	17	196
10	18	248
10	19	224
10	20	273
10	21	370
10	22	259
10	23	269
10	24	302
10	25	295
10	26	429
10	27	400
10	28	300
10	29	280
10	30	280
11	1	270
11	2	254
11	3	264
11	4	298
11	5	301
11	6	256
11	7	690
11	8	617
11	9	608
11	10	337
11	11	442
11	12	224
11	13	332
11	14	295
11	15	360
11	16	271
11	17	244
11	18	239
11	19	364
11	20	274
11	21	273
11	22	239
11	23	229
11	24	261
11	25	309
11	26	248
11	27	253
11	28	276
11	29	245
11	30	199
12	1	204
12	2	224
12	3	285
12	4	181
12	5	230
12	6	219
12	7	260
12	8	262
12	9	266
12	10	228
12	11	266
12	12	329
12	13	228
12	14	228
12	15	313
12	16	272
12	17	305
12	18	213
12	19	282
12	20	330
12	21	292
12	22	240
12	23	285
12	24	206
12	25	256
12	26	246
12	27	301
12	28	209
12	29	467
12	30	256
13	1	221
13	2	258
13	3	260
13	4	219
13	5	230
13	6	255
13	7	286
13	8	190
13	9	199
13	10	215
13	11	304
13	12	193
13	13	277
13	14	228
13	15	325
13	16	324
13	17	240
13	18	229
