NAME: 	Egor_4day_lhand
Completed cycles:	35
Failed cycles:	1
1	1	569
1	2	432
1	3	371
1	4	717
1	5	385
1	6	325
1	7	407
1	8	352
1	9	338
1	10	296
1	11	291
1	12	280
1	13	293
1	14	208
1	15	226
1	16	263
1	17	206
1	18	295
1	19	298
1	20	208
1	21	384
1	22	345
1	23	300
1	24	247
1	25	376
1	26	400
1	27	311
1	28	394
1	29	407
1	30	464
2	1	438
2	2	401
2	3	417
2	4	268
2	5	391
2	6	372
2	7	452
2	8	312
2	9	336
2	10	279
2	11	352
2	12	340
2	13	269
2	14	241
2	15	287
2	16	332
2	17	259
2	18	308
2	19	313
2	20	243
2	21	318
2	22	263
2	23	298
2	24	330
2	25	274
2	26	354
2	27	360
2	28	270
2	29	328
2	30	332
3	1	269
3	2	392
3	3	359
3	4	254
3	5	386
3	6	322
3	7	384
3	8	409
3	9	321
3	10	424
3	11	298
3	12	324
3	13	282
3	14	274
3	15	331
3	16	268
3	17	255
3	18	368
3	19	267
3	20	247
3	21	312
3	22	318
3	23	306
3	24	312
3	25	303
3	26	281
3	27	374
3	28	543
3	29	359
3	30	302
4	1	247
4	2	346
4	3	303
4	4	289
4	5	322
4	6	320
4	7	266
4	8	275
4	9	229
4	10	339
4	11	319
4	12	307
4	13	338
4	14	322
4	15	240
4	16	328
4	17	308
4	18	331
4	19	258
4	20	350
4	21	274
4	22	316
4	23	265
4	24	324
4	25	264
4	26	337
4	27	263
4	28	316
4	29	278
4	30	246
5	1	474
5	2	401
5	3	284
5	4	370
5	5	238
5	6	249
5	7	318
5	8	346
5	9	795
5	10	310
5	11	263
5	12	375
5	13	269
5	14	260
5	15	227
5	16	441
5	17	323
5	18	235
5	19	324
5	20	294
5	21	346
5	22	275
5	23	278
5	24	347
5	25	319
5	26	302
5	27	246
5	28	268
5	29	340
5	30	285
6	1	347
6	2	390
6	3	314
6	4	270
6	5	304
6	6	265
6	7	262
6	8	324
6	9	346
6	10	263
6	11	315
6	12	390
6	13	347
6	14	296
6	15	268
6	16	246
6	17	352
6	18	254
6	19	365
6	20	541
6	21	348
6	22	320
6	23	389
6	24	235
6	25	276
6	26	436
6	27	362
6	28	290
6	29	321
6	30	351
7	1	351
7	2	260
7	3	302
7	4	276
7	5	420
7	6	360
7	7	264
7	8	311
7	9	346
7	10	398
7	11	285
7	12	332
7	13	279
7	14	244
7	15	259
7	16	393
7	17	401
7	18	263
7	19	241
7	20	336
7	21	423
7	22	288
7	23	311
7	24	371
7	25	391
7	26	322
7	27	218
7	28	328
7	29	345
7	30	307
8	1	356
8	2	362
8	3	333
8	4	252
8	5	278
8	6	214
8	7	277
8	8	331
8	9	244
8	10	236
8	11	356
8	12	363
8	13	314
8	14	357
8	15	219
8	16	305
8	17	282
8	18	339
8	19	249
8	20	326
8	21	268
8	22	369
8	23	366
8	24	276
8	25	271
8	26	258
8	27	397
8	28	414
8	29	326
8	30	250
9	1	479
9	2	289
9	3	241
9	4	267
9	5	347
9	6	324
9	7	302
9	8	293
9	9	293
9	10	348
9	11	262
9	12	321
9	13	385
9	14	256
9	15	253
9	16	326
9	17	253
9	18	348
9	19	305
9	20	244
9	21	328
9	22	254
9	23	333
9	24	218
9	25	289
9	26	361
9	27	423
9	28	313
9	29	235
9	30	234
10	1	356
10	2	236
10	3	285
10	4	388
10	5	393
10	6	295
10	7	313
10	8	282
10	9	309
10	10	423
10	11	247
10	12	266
10	13	8
10	14	297
10	15	330
10	16	264
10	17	601
10	18	351
10	19	284
10	20	241
10	21	401
10	22	352
10	23	241
10	24	351
10	25	264
10	26	255
10	27	246
10	28	383
10	29	257
10	30	277
11	1	273
11	2	298
11	3	401
11	4	262
11	5	322
11	6	373
11	7	357
11	8	248
11	9	306
11	10	264
11	11	337
11	12	386
11	13	304
11	14	205
11	15	354
11	16	264
11	17	299
11	18	221
11	19	354
11	20	234
11	21	301
11	22	442
11	23	212
11	24	245
11	25	325
11	26	367
11	27	258
11	28	220
11	29	354
11	30	243
12	1	336
12	2	266
12	3	310
12	4	205
12	5	237
12	6	247
12	7	315
12	8	378
12	9	322
12	10	343
12	11	243
12	12	241
12	13	338
12	14	336
12	15	270
12	16	239
12	17	241
12	18	289
12	19	300
12	20	216
12	21	248
12	22	371
12	23	311
12	24	237
12	25	214
12	26	235
12	27	294
12	28	303
12	29	247
12	30	302
13	1	233
13	2	452
13	3	324
13	4	249
13	5	387
13	6	329
13	7	375
13	8	234
13	9	279
13	10	383
13	11	240
13	12	244
13	13	428
13	14	288
13	15	385
13	16	450
13	17	342
13	18	337
13	19	288
13	20	308
13	21	265
13	22	293
13	23	257
13	24	233
13	25	347
13	26	316
13	27	306
13	28	235
13	29	265
13	30	380
14	1	346
14	2	382
14	3	271
14	4	270
14	5	390
14	6	356
14	7	357
14	8	242
14	9	340
14	10	342
14	11	349
14	12	264
14	13	352
14	14	455
14	15	262
14	16	366
14	17	245
14	18	276
14	19	292
14	20	368
14	21	346
14	22	526
14	23	361
14	24	228
14	25	323
14	26	239
14	27	221
14	28	244
14	29	254
14	30	217
15	1	283
15	2	230
15	3	372
15	4	223
15	5	302
15	6	375
15	7	365
15	8	357
15	9	363
15	10	350
15	11	242
15	12	232
15	13	220
15	14	360
15	15	399
15	16	355
15	17	197
15	18	258
15	19	383
15	20	366
15	21	230
15	22	339
15	23	388
15	24	392
15	25	234
15	26	332
15	27	356
15	28	265
15	29	310
15	30	304
16	1	256
16	2	232
16	3	314
16	4	386
16	5	310
16	6	351
16	7	354
16	8	408
16	9	328
16	10	332
16	11	246
16	12	255
16	13	423
16	14	345
16	15	371
16	16	259
16	17	347
16	18	417
16	19	197
16	20	270
16	21	382
16	22	246
16	23	294
16	24	380
16	25	312
16	26	317
16	27	487
16	28	428
16	29	353
16	30	240
17	1	374
17	2	320
17	3	448
17	4	353
17	5	248
17	6	389
17	7	285
17	8	326
17	9	263
17	10	355
17	11	422
17	12	334
17	13	415
17	14	383
17	15	274
17	16	257
17	17	281
17	18	290
17	19	401
17	20	308
17	21	487
17	22	256
17	23	268
17	24	240
17	25	267
17	26	237
17	27	504
17	28	429
17	29	397
17	30	236
18	1	301
18	2	477
18	3	241
18	4	425
18	5	370
18	6	477
18	7	236
18	8	37
18	9	458
18	10	256
18	11	319
18	12	222
18	13	527
18	14	264
18	15	429
18	16	232
18	17	346
18	18	280
18	19	259
18	20	284
18	21	315
18	22	254
18	23	262
18	24	253
18	25	248
18	26	261
18	27	337
18	28	244
18	29	289
18	30	286
19	1	507
19	2	302
19	3	428
19	4	336
19	5	282
19	6	276
19	7	260
19	8	304
19	9	259
19	10	293
19	11	386
19	12	277
19	13	331
19	14	248
19	15	394
19	16	319
19	17	297
19	18	305
19	19	251
19	20	264
19	21	414
19	22	286
19	23	365
19	24	234
19	25	378
19	26	349
19	27	352
19	28	206
19	29	240
19	30	293
20	1	352
20	2	273
20	3	247
20	4	286
20	5	376
20	6	417
20	7	282
20	8	322
20	9	293
20	10	271
20	11	285
20	12	394
20	13	239
20	14	269
20	15	312
20	16	393
20	17	362
20	18	353
20	19	364
20	20	274
20	21	336
20	22	396
20	23	367
20	24	232
20	25	574
20	26	233
20	27	285
20	28	248
20	29	444
20	30	653
21	1	397
21	2	277
21	3	254
21	4	322
21	5	271
21	6	279
21	7	222
21	8	305
21	9	366
21	10	234
21	11	248
21	12	253
21	13	321
21	14	367
21	15	373
21	16	287
21	17	263
21	18	255
21	19	333
21	20	220
21	21	370
21	22	237
21	23	241
21	24	335
21	25	228
21	26	309
21	27	222
21	28	382
21	29	463
21	30	327
22	1	466
22	2	353
22	3	214
22	4	353
22	5	250
22	6	333
22	7	209
22	8	256
22	9	340
22	10	212
22	11	321
22	12	445
22	13	368
22	14	218
22	15	255
22	16	336
22	17	346
22	18	422
22	19	471
22	20	338
22	21	281
22	22	566
22	23	216
22	24	220
22	25	220
22	26	356
22	27	454
22	28	355
22	29	256
22	30	213
23	1	528
23	2	337
23	3	395
23	4	341
23	5	220
23	6	241
23	7	217
23	8	347
23	9	256
23	10	282
23	11	233
23	12	436
23	13	331
23	14	443
23	15	367
23	16	458
23	17	407
23	18	177
23	19	291
23	20	261
23	21	253
23	22	325
23	23	344
23	24	397
23	25	338
23	26	266
23	27	391
23	28	322
23	29	201
23	30	261
24	1	319
24	2	379
24	3	439
24	4	313
24	5	319
24	6	348
24	7	251
24	8	266
24	9	351
24	10	204
24	11	246
24	12	225
24	13	391
24	14	422
24	15	321
24	16	405
24	17	266
24	18	455
24	19	227
24	20	337
24	21	239
24	22	301
24	23	415
24	24	424
24	25	314
24	26	223
24	27	300
24	28	227
24	29	349
24	30	207
25	1	399
25	2	303
25	3	185
25	4	281
25	5	241
25	6	374
25	7	242
25	8	279
25	9	338
25	10	334
25	11	351
25	12	247
25	13	273
25	14	388
25	15	316
25	16	274
25	17	431
25	18	287
25	19	322
25	20	298
25	21	305
25	22	239
25	23	346
25	24	239
25	25	309
25	26	272
25	27	399
25	28	261
25	29	285
25	30	256
26	1	330
26	2	265
26	3	341
26	4	242
26	5	339
26	6	347
26	7	195
26	8	367
26	9	247
26	10	278
26	11	393
26	12	389
26	13	354
26	14	427
26	15	374
26	16	278
26	17	278
26	18	345
26	19	393
26	20	285
26	21	389
26	22	283
26	23	357
26	24	334
26	25	368
26	26	430
26	27	444
26	28	466
26	29	479
26	30	469
27	1	310
27	2	407
27	3	359
27	4	280
27	5	337
27	6	301
27	7	245
27	8	242
27	9	256
27	10	386
27	11	279
27	12	313
27	13	332
27	14	406
27	15	306
27	16	326
27	17	15
27	18	396
27	19	338
27	20	244
27	21	241
27	22	462
27	23	378
27	24	315
27	25	204
27	26	352
27	27	441
27	28	251
27	29	384
27	30	585
28	1	283
28	2	272
28	3	301
28	4	315
28	5	321
28	6	323
28	7	286
28	8	240
28	9	335
28	10	396
28	11	403
28	12	375
28	13	323
28	14	255
28	15	240
28	16	420
28	17	341
28	18	287
28	19	332
28	20	446
28	21	247
28	22	252
28	23	191
28	24	263
28	25	245
28	26	304
28	27	301
28	28	495
28	29	265
28	30	389
29	1	412
29	2	243
29	3	355
29	4	305
29	5	260
29	6	435
29	7	412
29	8	314
29	9	371
29	10	236
29	11	310
29	12	314
29	13	228
29	14	328
29	15	294
29	16	450
29	17	308
29	18	263
29	19	251
29	20	354
29	21	435
29	22	345
29	23	544
29	24	329
29	25	266
29	26	351
29	27	438
29	28	386
