NAME: 	Alexandra_2day_lhand
Completed cycles:	34
Failed cycles:	1
1	1	574
1	2	278
1	3	356
1	4	289
1	5	266
1	6	226
1	7	306
1	8	324
1	9	273
1	10	279
1	11	253
1	12	265
1	13	342
1	14	272
1	15	241
1	16	239
1	17	264
1	18	241
1	19	218
1	20	327
1	21	382
1	22	326
1	23	274
1	24	287
1	25	344
1	26	326
1	27	257
1	28	305
1	29	228
1	30	260
2	1	272
2	2	317
2	3	275
2	4	236
2	5	419
2	6	307
2	7	289
2	8	366
2	9	274
2	10	293
2	11	295
2	12	283
2	13	357
2	14	289
2	15	303
2	16	261
2	17	387
2	18	297
2	19	344
2	20	307
2	21	293
2	22	303
2	23	311
2	24	271
2	25	307
2	26	461
2	27	311
2	28	308
2	29	319
2	30	224
3	1	270
3	2	358
3	3	302
3	4	243
3	5	319
3	6	229
3	7	332
3	8	310
3	9	240
3	10	275
3	11	310
3	12	274
3	13	309
3	14	399
3	15	331
3	16	287
3	17	307
3	18	317
3	19	232
3	20	272
3	21	446
3	22	295
3	23	363
3	24	310
3	25	305
3	26	404
3	27	383
3	28	280
3	29	311
3	30	287
4	1	222
4	2	317
4	3	315
4	4	329
4	5	327
4	6	234
4	7	251
4	8	413
4	9	437
4	10	317
4	11	308
4	12	338
4	13	292
4	14	329
4	15	379
4	16	267
4	17	290
4	18	278
4	19	304
4	20	287
4	21	275
4	22	251
4	23	276
4	24	282
4	25	316
4	26	320
4	27	302
4	28	304
4	29	256
4	30	306
5	1	289
5	2	236
5	3	385
5	4	315
5	5	255
5	6	322
5	7	319
5	8	315
5	9	319
5	10	289
5	11	262
5	12	352
5	13	278
5	14	336
5	15	396
5	16	326
5	17	309
5	18	272
5	19	352
5	20	339
5	21	288
5	22	357
5	23	340
5	24	430
5	25	346
5	26	288
5	27	440
5	28	337
5	29	380
5	30	319
6	1	337
6	2	335
6	3	287
6	4	317
6	5	317
6	6	303
6	7	353
6	8	271
6	9	302
6	10	385
6	11	347
6	12	294
