NAME: 	Arina_4day_lhand
Completed cycles:	37
Failed cycles:	1
Cycle	Trial	RT	Accuracy
14	4	312	T
14	5	298	T
14	6	237	T
14	7	433	T
14	8	333	T
14	9	316	T
14	10	406	T
14	11	198	T
14	12	265	T
14	13	271	T
14	14	345	T
14	15	273	T
14	16	204	T
14	17	345	T
14	18	339	T
14	19	226	T
14	20	260	T
14	21	232	T
14	22	229	T
14	23	316	T
14	24	234	T
14	25	361	T
14	26	338	F
14	27	258	T
14	28	392	T
14	29	216	T
14	30	270	T
15	1	383	T
15	2	215	T
15	3	228	F
15	4	333	T
15	5	237	T
15	6	383	T
15	7	225	T
15	8	238	F
15	9	241	T
15	10	403	T
15	11	364	T
15	12	212	T
15	13	271	T
15	14	212	T
15	15	320	T
15	16	180	T
15	17	287	T
15	18	333	T
15	19	362	T
15	20	222	T
15	21	360	T
15	22	250	T
15	23	353	T
15	24	252	T
15	25	206	F
15	26	276	T
15	27	256	T
15	28	330	T
15	29	232	T
15	30	263	F
16	1	386	T
16	2	390	T
16	3	382	T
16	4	274	T
16	5	284	T
16	6	377	T
16	7	206	T
16	8	255	T
16	9	304	T
16	10	222	T
16	11	275	T
16	12	303	T
16	13	218	T
16	14	418	T
16	15	370	T
16	16	335	T
16	17	325	F
16	18	320	T
16	19	333	T
16	20	203	F
16	21	290	T
16	22	313	T
16	23	229	T
16	24	302	T
16	25	245	T
16	26	245	T
16	27	239	T
16	28	247	T
16	29	348	T
16	30	276	T
17	1	384	T
17	2	304	T
17	3	231	T
17	4	300	T
17	5	350	T
17	6	246	T
17	7	284	T
17	8	250	T
17	9	253	T
17	10	242	T
17	11	361	T
17	12	323	T
17	13	333	T
17	14	363	T
17	15	258	F
17	16	300	T
17	17	284	T
17	18	350	T
17	19	247	T
17	20	412	T
17	21	272	T
17	22	331	T
17	23	317	T
17	24	328	T
17	25	238	T
17	26	283	T
17	27	241	T
17	28	585	T
17	29	364	T
17	30	411	T
18	1	501	T
18	2	226	T
18	3	219	T
18	4	327	T
18	5	211	T
18	6	304	T
18	7	245	T
18	8	461	T
18	9	545	T
18	10	306	T
18	11	341	T
18	12	232	T
18	13	281	T
18	14	246	T
18	15	306	T
18	16	249	T
18	17	368	T
18	18	420	T
18	19	234	T
18	20	220	T
18	21	253	T
18	22	259	T
18	23	263	T
18	24	456	T
