NAME: 	Anna_2day_rhand
Completed cycles:	38
Failed cycles:	1
1	1	975
1	2	253
1	3	255
1	4	311
1	5	281
1	6	219
1	7	200
1	8	303
1	9	181
1	10	229
1	11	226
1	12	204
1	13	305
1	14	263
1	15	198
1	16	234
1	17	138
1	18	272
1	19	146
1	20	190
1	21	346
1	22	251
1	23	215
1	24	246
1	25	303
1	26	284
1	27	204
1	28	209
1	29	173
1	30	350
2	1	284
2	2	337
2	3	229
2	4	186
2	5	184
2	6	283
2	7	290
2	8	270
2	9	245
2	10	137
2	11	279
2	12	208
2	13	267
2	14	182
2	15	220
2	16	215
2	17	286
2	18	116
2	19	220
2	20	146
2	21	196
2	22	241
2	23	222
2	24	207
2	25	189
2	26	234
2	27	276
2	28	163
2	29	156
2	30	313
3	1	239
3	2	209
3	3	247
3	4	234
3	5	217
3	6	295
3	7	143
3	8	199
3	9	208
3	10	305
3	11	174
3	12	323
3	13	279
3	14	273
3	15	267
3	16	332
3	17	190
3	18	322
3	19	270
3	20	191
3	21	231
3	22	202
3	23	222
3	24	339
3	25	260
3	26	307
3	27	285
3	28	236
3	29	278
3	30	157
4	1	263
4	2	393
4	3	241
4	4	181
4	5	217
4	6	233
4	7	191
4	8	354
4	9	169
4	10	198
4	11	280
4	12	157
4	13	231
4	14	207
4	15	450
4	16	303
4	17	380
4	18	235
4	19	172
4	20	291
4	21	245
4	22	236
4	23	183
4	24	148
4	25	204
4	26	261
4	27	277
4	28	203
4	29	363
4	30	298
5	1	327
5	2	256
5	3	249
5	4	225
5	5	176
5	6	198
5	7	242
5	8	186
5	9	340
5	10	222
5	11	210
5	12	356
5	13	332
5	14	181
5	15	166
5	16	230
5	17	388
5	18	221
5	19	227
5	20	227
5	21	253
5	22	165
5	23	241
5	24	223
5	25	357
5	26	203
5	27	176
5	28	361
5	29	301
5	30	260
6	1	260
6	2	220
6	3	234
6	4	268
6	5	297
6	6	271
6	7	225
6	8	262
6	9	307
6	10	245
6	11	243
6	12	249
6	13	314
6	14	305
6	15	141
6	16	179
6	17	195
6	18	171
6	19	210
6	20	205
6	21	247
6	22	244
6	23	232
6	24	186
6	25	258
6	26	165
6	27	184
6	28	214
6	29	288
6	30	191
7	1	276
7	2	403
7	3	320
7	4	165
7	5	205
7	6	281
7	7	215
7	8	544
7	9	259
7	10	326
7	11	238
7	12	226
7	13	312
7	14	329
7	15	299
7	16	404
7	17	125
7	18	286
7	19	303
7	20	249
7	21	269
7	22	243
7	23	212
7	24	213
7	25	222
7	26	292
7	27	259
7	28	212
7	29	252
7	30	195
8	1	191
8	2	243
8	3	404
8	4	203
8	5	233
8	6	267
8	7	143
8	8	257
8	9	321
8	10	268
8	11	190
8	12	255
8	13	243
8	14	213
8	15	232
8	16	287
8	17	354
8	18	209
8	19	251
8	20	335
8	21	250
8	22	277
8	23	164
8	24	247
8	25	294
8	26	189
8	27	240
8	28	227
8	29	192
8	30	202
9	1	202
9	2	248
9	3	195
9	4	189
9	5	176
9	6	242
9	7	213
9	8	231
9	9	224
9	10	253
9	11	180
9	12	453
9	13	221
9	14	169
9	15	293
9	16	307
9	17	209
9	18	167
9	19	209
9	20	207
9	21	249
9	22	280
9	23	168
9	24	227
9	25	507
9	26	234
9	27	262
9	28	329
9	29	283
9	30	233
10	1	276
10	2	230
10	3	209
10	4	213
10	5	284
10	6	201
10	7	252
10	8	272
10	9	199
10	10	303
10	11	375
10	12	316
10	13	169
10	14	320
10	15	273
10	16	208
10	17	166
10	18	334
10	19	313
10	20	213
10	21	234
10	22	223
10	23	313
10	24	207
10	25	228
10	26	283
10	27	279
10	28	221
10	29	172
10	30	247
11	1	192
11	2	266
11	3	237
11	4	192
11	5	205
11	6	286
11	7	325
11	8	227
11	9	199
11	10	208
11	11	206
11	12	313
11	13	223
11	14	427
11	15	285
11	16	221
11	17	221
11	18	280
11	19	137
11	20	281
11	21	157
11	22	277
11	23	167
11	24	312
11	25	246
11	26	234
11	27	154
11	28	258
11	29	302
11	30	173
12	1	212
12	2	323
12	3	341
12	4	380
12	5	248
12	6	318
12	7	187
12	8	252
12	9	152
12	10	243
12	11	287
12	12	284
12	13	256
12	14	275
12	15	248
12	16	223
12	17	307
12	18	354
12	19	123
12	20	262
12	21	296
12	22	260
12	23	307
12	24	163
12	25	316
12	26	315
12	27	244
12	28	234
12	29	228
12	30	285
13	1	290
13	2	183
13	3	258
13	4	139
13	5	248
13	6	189
13	7	302
13	8	140
13	9	235
13	10	196
13	11	257
13	12	154
13	13	264
13	14	284
13	15	284
13	16	206
13	17	204
13	18	171
13	19	186
13	20	213
13	21	218
13	22	322
13	23	195
13	24	217
13	25	156
13	26	204
13	27	260
13	28	209
13	29	254
13	30	143
14	1	439
14	2	170
14	3	234
14	4	142
14	5	222
14	6	203
14	7	265
14	8	362
14	9	240
14	10	187
14	11	195
14	12	245
14	13	445
14	14	313
14	15	246
14	16	305
14	17	201
14	18	494
14	19	215
14	20	268
14	21	143
14	22	217
14	23	141
14	24	248
14	25	180
14	26	201
14	27	168
14	28	332
14	29	172
14	30	217
15	1	106
15	2	182
15	3	323
15	4	381
15	5	314
15	6	294
15	7	219
15	8	301
15	9	296
15	10	192
15	11	194
15	12	373
15	13	240
15	14	254
15	15	310
15	16	194
15	17	136
15	18	230
15	19	246
15	20	252
15	21	138
15	22	171
15	23	183
15	24	297
15	25	79
15	26	261
15	27	470
15	28	113
15	29	261
15	30	276
16	1	375
16	2	238
16	3	261
16	4	195
16	5	259
16	6	193
16	7	266
16	8	169
16	9	257
16	10	283
16	11	185
16	12	270
16	13	188
16	14	291
16	15	236
16	16	258
16	17	154
16	18	203
16	19	246
16	20	305
16	21	284
16	22	233
16	23	322
16	24	272
16	25	233
16	26	137
16	27	276
16	28	195
16	29	254
16	30	330
17	1	168
17	2	364
17	3	492
17	4	182
17	5	317
17	6	259
17	7	182
17	8	319
17	9	314
17	10	231
17	11	163
17	12	293
17	13	271
17	14	215
17	15	292
17	16	301
17	17	234
17	18	231
17	19	501
17	20	299
17	21	183
17	22	180
17	23	257
17	24	318
17	25	188
17	26	117
17	27	233
17	28	317
17	29	287
17	30	312
18	1	187
18	2	273
18	3	283
18	4	204
18	5	194
18	6	180
18	7	312
18	8	511
18	9	221
18	10	161
18	11	261
18	12	284
18	13	333
18	14	134
18	15	310
18	16	309
18	17	289
18	18	237
18	19	193
18	20	218
18	21	272
18	22	218
18	23	277
18	24	296
18	25	197
18	26	522
18	27	373
18	28	258
18	29	236
18	30	213
19	1	233
19	2	170
19	3	337
19	4	243
19	5	225
19	6	248
19	7	191
19	8	185
19	9	165
19	10	193
19	11	180
19	12	174
19	13	164
19	14	210
19	15	397
19	16	316
19	17	216
19	18	209
19	19	154
19	20	254
19	21	332
19	22	227
19	23	230
19	24	168
19	25	213
19	26	247
19	27	247
19	28	339
19	29	268
19	30	253
20	1	207
20	2	294
20	3	234
20	4	261
20	5	218
20	6	331
20	7	201
20	8	165
20	9	327
20	10	332
20	11	265
20	12	202
20	13	229
20	14	196
20	15	283
20	16	207
20	17	211
20	18	278
20	19	293
20	20	298
20	21	378
20	22	203
20	23	294
20	24	175
20	25	343
20	26	238
20	27	213
20	28	283
20	29	190
20	30	179
21	1	279
21	2	283
21	3	329
21	4	149
21	5	315
21	6	203
21	7	193
21	8	258
21	9	491
21	10	225
21	11	283
21	12	233
21	13	225
21	14	275
21	15	210
21	16	279
21	17	336
21	18	273
21	19	304
21	20	188
21	21	247
21	22	343
21	23	196
21	24	270
21	25	244
21	26	237
21	27	279
21	28	368
21	29	218
21	30	152
22	1	216
22	2	442
22	3	343
22	4	197
22	5	330
22	6	241
22	7	233
22	8	181
22	9	203
22	10	342
22	11	210
22	12	358
22	13	261
22	14	229
22	15	272
22	16	368
22	17	291
22	18	229
22	19	404
22	20	298
22	21	230
22	22	226
22	23	329
22	24	408
22	25	254
22	26	453
22	27	245
22	28	305
22	29	225
22	30	428
23	1	283
23	2	346
23	3	266
23	4	161
23	5	161
23	6	324
23	7	255
