NAME: 	Arina_1day_lhand
Completed cycles:	34
Failed cycles:	1
Cycle	Trial	RT	Accuracy
1	1	592	T
1	2	296	T
1	3	443	T
1	4	303	T
1	5	402	T
1	6	329	T
1	7	337	T
1	8	352	T
1	9	424	T
1	10	262	T
1	11	239	T
1	12	366	T
1	13	314	T
1	14	272	T
1	15	279	T
1	16	305	T
1	17	274	T
1	18	380	T
1	19	321	T
1	20	340	T
1	21	366	T
1	22	316	T
1	23	265	T
1	24	260	T
1	25	267	T
1	26	332	T
1	27	249	F
1	28	274	T
1	29	354	F
1	30	313	T
2	1	468	T
2	2	567	T
2	3	330	T
2	4	258	T
2	5	229	T
2	6	482	T
2	7	323	T
2	8	488	T
2	9	265	T
2	10	279	T
2	11	315	T
2	12	374	T
2	13	295	T
2	14	305	T
2	15	358	T
2	16	432	T
2	17	388	T
2	18	388	T
2	19	311	T
2	20	298	T
2	21	467	T
2	22	294	T
2	23	359	F
2	24	326	T
2	25	471	T
2	26	406	T
2	27	679	T
2	28	277	T
2	29	392	T
2	30	284	T
3	1	263	F
3	2	314	T
3	3	376	T
3	4	497	T
3	5	300	T
3	6	546	T
3	7	276	T
3	8	322	T
3	9	355	T
3	10	328	T
3	11	423	T
3	12	314	T
3	13	291	T
3	14	416	T
3	15	547	T
3	16	265	T
3	17	303	F
3	18	363	T
3	19	524	T
3	20	280	T
3	21	398	T
3	22	281	T
3	23	383	F
3	24	301	T
3	25	333	T
3	26	380	T
3	27	386	T
3	28	272	T
3	29	267	T
3	30	371	T
4	1	285	T
4	2	311	T
4	3	248	T
4	4	292	T
4	5	374	T
4	6	228	T
4	7	522	T
4	8	287	T
4	9	307	T
4	10	352	T
4	11	384	T
4	12	238	T
4	13	399	T
4	14	286	T
4	15	246	T
4	16	390	T
4	17	448	T
4	18	224	T
4	19	237	T
4	20	283	T
4	21	217	T
4	22	389	T
4	23	506	T
4	24	259	T
4	25	299	T
4	26	271	T
4	27	292	T
4	28	321	T
4	29	271	T
4	30	365	T
5	1	326	T
5	2	393	T
5	3	645	T
5	4	400	T
5	5	278	T
5	6	295	T
5	7	298	T
5	8	395	T
5	9	302	T
5	10	260	T
5	11	377	T
5	12	489	T
5	13	266	T
5	14	453	T
5	15	352	T
5	16	288	T
5	17	370	T
5	18	326	T
5	19	263	T
5	20	284	T
5	21	265	T
5	22	307	T
5	23	392	T
5	24	405	T
5	25	308	T
5	26	327	T
5	27	441	T
5	28	261	T
5	29	352	T
5	30	417	T
6	1	212	T
6	2	260	T
6	3	366	T
6	4	188	T
6	5	220	T
6	6	282	T
6	7	474	T
6	8	461	T
6	9	315	T
6	10	375	T
6	11	300	T
6	12	284	T
6	13	279	T
6	14	329	T
6	15	336	T
6	16	288	T
6	17	295	T
6	18	216	T
6	19	263	T
6	20	436	T
6	21	266	T
6	22	269	T
6	23	284	T
6	24	221	T
6	25	380	T
6	26	268	T
6	27	353	T
6	28	359	T
6	29	283	F
6	30	396	T
7	1	331	T
7	2	401	T
7	3	266	T
7	4	280	T
7	5	380	T
7	6	302	T
7	7	274	T
7	8	295	T
7	9	241	T
7	10	244	T
7	11	283	T
7	12	291	T
7	13	290	T
7	14	377	T
7	15	355	T
7	16	215	T
7	17	250	T
7	18	272	T
7	19	267	T
7	20	287	T
7	21	279	T
7	22	333	T
7	23	353	T
7	24	293	T
7	25	316	T
7	26	297	T
7	27	451	T
7	28	291	T
7	29	241	T
7	30	377	T
8	1	372	F
8	2	262	T
8	3	302	T
8	4	353	T
8	5	385	T
8	6	318	F
8	7	302	T
8	8	276	T
8	9	272	T
8	10	319	T
8	11	269	T
8	12	245	T
8	13	258	T
8	14	242	T
8	15	252	T
8	16	254	T
8	17	315	T
8	18	304	T
8	19	256	F
8	20	223	T
8	21	307	T
8	22	128	T
8	23	450	T
8	24	218	T
8	25	231	T
8	26	458	T
8	27	459	T
8	28	302	T
8	29	271	T
8	30	266	T
9	1	269	T
9	2	381	T
9	3	356	T
9	4	258	T
9	5	188	T
9	6	322	T
9	7	396	T
9	8	327	T
9	9	278	T
9	10	260	T
9	11	341	T
9	12	298	T
9	13	232	T
9	14	282	T
9	15	361	T
9	16	289	T
9	17	232	T
9	18	408	T
9	19	239	F
9	20	246	T
9	21	251	T
9	22	395	T
9	23	307	T
9	24	306	T
9	25	350	T
9	26	231	T
9	27	366	T
9	28	324	T
9	29	186	F
9	30	284	T
10	1	361	T
10	2	265	F
10	3	258	T
10	4	248	T
10	5	373	T
10	6	281	F
10	7	282	T
10	8	270	T
10	9	272	T
10	10	231	T
10	11	205	F
10	12	298	T
10	13	273	T
10	14	357	T
10	15	346	T
10	16	271	T
10	17	254	T
10	18	499	T
10	19	279	T
10	20	434	T
10	21	255	T
10	22	281	T
10	23	359	T
10	24	333	T
10	25	303	T
10	26	255	T
10	27	467	T
10	28	277	T
10	29	343	F
10	30	403	T
11	1	351	T
11	2	300	T
11	3	559	T
11	4	244	T
11	5	274	T
11	6	490	T
11	7	366	T
11	8	555	T
11	9	274	T
11	10	274	T
11	11	337	T
11	12	317	T
11	13	280	T
11	14	353	T
11	15	460	T
11	16	390	T
11	17	617	T
11	18	272	T
11	19	280	T
11	20	287	T
11	21	406	T
11	22	395	T
11	23	248	T
11	24	255	T
11	25	279	T
11	26	359	T
11	27	351	T
11	28	243	T
11	29	331	T
11	30	260	T
12	1	258	F
12	2	335	T
12	3	380	T
12	4	335	T
12	5	397	T
12	6	261	T
12	7	353	T
12	8	258	T
12	9	310	F
12	10	206	F
12	11	275	T
12	12	372	T
12	13	315	T
12	14	276	T
12	15	275	T
12	16	278	T
12	17	436	T
12	18	454	T
12	19	282	T
12	20	582	T
12	21	327	T
12	22	531	T
12	23	266	T
12	24	243	T
12	25	360	T
12	26	260	T
12	27	493	T
12	28	320	T
12	29	365	T
12	30	454	T
13	1	318	F
13	2	355	T
13	3	403	T
13	4	291	T
13	5	360	T
13	6	292	T
13	7	356	T
13	8	601	T
13	9	274	T
13	10	259	F
13	11	324	T
13	12	319	T
13	13	500	T
13	14	325	T
13	15	281	T
13	16	421	T
13	17	275	T
13	18	507	F
13	19	254	T
13	20	300	T
13	21	563	T
13	22	280	T
13	23	276	T
13	24	421	T
13	25	505	T
13	26	301	T
13	27	245	F
13	28	431	T
13	29	406	T
13	30	301	T
14	1	567	T
14	2	473	T
14	3	296	T
14	4	266	T
14	5	237	T
14	6	289	T
14	7	519	T
14	8	325	T
14	9	336	T
14	10	326	T
14	11	456	T
14	12	271	T
14	13	386	T
14	14	256	T
14	15	227	T
14	16	274	T
14	17	339	T
14	18	219	T
14	19	239	T
14	20	431	T
14	21	249	T
14	22	335	T
14	23	264	T
14	24	257	T
14	25	280	T
14	26	246	T
14	27	271	F
14	28	223	T
14	29	227	T
14	30	265	T
15	1	268	F
15	2	324	T
15	3	332	T
15	4	327	F
15	5	285	T
15	6	241	T
15	7	240	T
15	8	248	T
15	9	250	F
15	10	274	T
15	11	309	T
15	12	278	F
15	13	269	T
15	14	304	T
15	15	252	F
15	16	375	T
15	17	297	T
15	18	449	T
15	19	330	T
15	20	271	T
15	21	386	T
15	22	198	T
15	23	439	T
15	24	459	T
15	25	296	T
15	26	256	T
15	27	388	T
15	28	230	T
15	29	380	T
15	30	498	T
16	1	261	T
16	2	285	F
16	3	381	T
16	4	378	T
16	5	513	T
16	6	311	T
16	7	431	T
16	8	289	T
16	9	260	T
16	10	436	T
16	11	298	T
16	12	250	F
16	13	312	T
16	14	335	T
16	15	414	T
16	16	296	T
16	17	248	T
16	18	458	T
16	19	532	T
16	20	300	T
16	21	275	T
16	22	406	T
16	23	417	T
16	24	309	T
16	25	362	T
16	26	367	T
16	27	243	T
16	28	437	T
16	29	436	F
16	30	375	T
17	1	230	T
17	2	473	T
17	3	300	T
17	4	317	T
17	5	353	T
17	6	306	T
17	7	433	T
17	8	337	T
17	9	283	T
17	10	279	T
17	11	417	T
17	12	278	T
17	13	450	T
17	14	315	T
17	15	479	T
17	16	432	T
17	17	309	T
17	18	363	T
17	19	406	T
17	20	229	T
17	21	369	T
17	22	317	T
17	23	369	T
17	24	330	T
17	25	324	T
17	26	532	T
17	27	238	T
17	28	463	T
17	29	255	T
17	30	333	T
18	1	254	T
18	2	498	T
18	3	391	T
18	4	360	T
18	5	224	T
18	6	254	T
18	7	374	T
18	8	256	T
18	9	281	T
18	10	326	T
18	11	247	T
18	12	292	T
18	13	275	T
18	14	267	T
18	15	292	T
18	16	258	T
18	17	248	T
18	18	259	T
18	19	418	T
18	20	346	T
18	21	374	T
18	22	269	T
18	23	255	T
18	24	237	T
18	25	262	T
18	26	402	F
18	27	256	T
18	28	281	T
18	29	283	F
18	30	425	F
19	1	547	T
19	2	500	T
19	3	242	T
19	4	305	T
19	5	500	T
19	6	255	T
19	7	471	T
19	8	531	T
19	9	244	T
19	10	258	T
19	11	243	T
19	12	336	T
19	13	211	T
19	14	455	T
19	15	188	F
19	16	217	T
19	17	377	T
19	18	369	T
19	19	469	T
19	20	305	T
19	21	443	T
19	22	238	T
19	23	375	T
19	24	234	T
19	25	327	T
19	26	301	F
19	27	302	T
19	28	368	T
19	29	207	T
19	30	432	T
20	1	208	T
20	2	333	T
20	3	283	F
20	4	348	T
20	5	227	T
20	6	241	T
20	7	232	T
20	8	350	T
20	9	432	T
20	10	384	T
20	11	297	T
20	12	466	T
20	13	241	T
20	14	311	T
20	15	240	T
20	16	323	T
20	17	270	T
20	18	238	F
20	19	268	F
20	20	249	T
20	21	372	T
20	22	324	T
20	23	298	T
20	24	295	T
20	25	358	T
20	26	308	T
20	27	418	T
20	28	253	T
20	29	449	T
20	30	254	T
21	1	327	T
21	2	456	T
21	3	382	F
21	4	250	F
21	5	379	T
21	6	414	T
21	7	322	T
21	8	266	F
21	9	429	T
21	10	425	T
21	11	253	T
21	12	474	T
21	13	460	T
21	14	347	F
21	15	205	T
21	16	252	F
21	17	296	T
21	18	259	T
21	19	248	T
21	20	253	T
21	21	426	T
21	22	287	T
21	23	405	T
21	24	236	T
21	25	335	F
21	26	243	F
21	27	349	T
21	28	339	T
21	29	335	T
21	30	474	T
22	1	329	T
22	2	325	T
22	3	318	T
22	4	387	F
22	5	273	T
22	6	247	F
22	7	327	T
22	8	337	T
22	9	333	T
22	10	318	T
22	11	390	T
22	12	271	T
22	13	238	F
22	14	235	T
22	15	371	T
22	16	351	T
22	17	389	T
22	18	210	T
22	19	438	T
22	20	281	T
22	21	294	T
22	22	271	T
22	23	332	T
22	24	384	T
22	25	261	T
22	26	244	T
22	27	330	T
22	28	387	T
22	29	288	T
22	30	276	T
23	1	366	T
23	2	422	T
23	3	473	T
23	4	255	T
23	5	268	F
23	6	239	T
23	7	318	T
23	8	316	F
23	9	571	F
23	10	279	T
23	11	329	T
23	12	253	F
23	13	473	T
23	14	262	T
23	15	520	T
23	16	295	F
23	17	412	T
23	18	394	T
23	19	405	T
23	20	260	T
23	21	431	T
23	22	225	T
23	23	290	T
23	24	295	T
23	25	394	T
23	26	249	T
23	27	452	T
23	28	248	T
23	29	312	F
23	30	243	T
24	1	416	T
24	2	437	T
24	3	315	F
24	4	339	T
24	5	303	T
24	6	275	T
24	7	228	T
24	8	323	T
24	9	428	T
24	10	251	T
24	11	541	T
24	12	262	T
24	13	327	T
24	14	246	T
24	15	544	T
24	16	237	T
24	17	361	T
24	18	264	F
24	19	292	T
24	20	290	T
24	21	319	T
24	22	197	T
24	23	245	T
24	24	460	T
24	25	313	T
24	26	547	T
24	27	266	T
24	28	378	T
24	29	201	T
24	30	510	T
25	1	437	F
25	2	436	T
25	3	243	T
25	4	453	T
25	5	385	T
25	6	311	T
25	7	315	T
25	8	465	T
25	9	348	T
25	10	311	T
25	11	415	T
25	12	267	T
25	13	289	T
25	14	259	T
25	15	367	T
25	16	375	T
25	17	327	T
25	18	291	F
25	19	235	T
25	20	442	T
25	21	412	F
25	22	233	T
25	23	298	T
25	24	253	T
25	25	394	T
25	26	317	T
25	27	256	T
25	28	350	T
25	29	232	T
25	30	442	T
26	1	283	T
26	2	336	T
26	3	344	T
26	4	282	T
26	5	277	T
26	6	234	T
26	7	258	T
26	8	260	T
26	9	228	F
26	10	430	T
26	11	419	T
26	12	438	T
26	13	277	T
26	14	325	T
26	15	314	T
26	16	206	T
26	17	207	F
26	18	337	T
26	19	270	F
26	20	310	T
26	21	323	T
26	22	236	T
26	23	272	T
26	24	254	T
26	25	297	T
26	26	313	T
26	27	249	T
26	28	513	T
26	29	412	T
26	30	480	T
27	1	327	F
27	2	353	T
27	3	328	T
27	4	417	T
27	5	368	T
27	6	397	T
27	7	335	T
27	8	555	T
27	9	398	T
27	10	360	T
27	11	340	T
27	12	450	T
27	13	290	T
27	14	354	T
27	15	593	T
27	16	271	T
27	17	236	F
27	18	415	T
27	19	365	T
27	20	405	T
27	21	325	F
27	22	414	T
27	23	362	T
27	24	249	T
27	25	324	T
27	26	227	T
27	27	234	T
27	28	387	T
27	29	311	T
27	30	422	T
28	1	273	T
28	2	342	T
28	3	228	F
28	4	315	T
28	5	261	T
28	6	325	T
28	7	325	T
28	8	252	T
28	9	255	F
28	10	251	F
28	11	333	T
28	12	502	T
28	13	263	T
28	14	365	T
28	15	327	T
28	16	275	T
28	17	492	T
28	18	303	T
28	19	366	T
28	20	240	F
28	21	311	T
28	22	320	T
28	23	404	T
28	24	197	T
28	25	375	T
28	26	384	T
28	27	300	T
28	28	284	T
28	29	317	F
28	30	578	T
29	1	289	T
29	2	257	T
29	3	407	T
29	4	507	T
29	5	269	T
29	6	302	T
29	7	271	T
29	8	291	T
29	9	257	T
29	10	408	T
29	11	300	T
29	12	235	T
29	13	380	T
29	14	380	T
29	15	293	T
29	16	253	T
29	17	262	T
29	18	400	T
29	19	238	T
29	20	194	T
29	21	297	T
29	22	372	T
29	23	269	T
29	24	251	T
29	25	319	T
29	26	249	T
29	27	237	T
29	28	313	T
29	29	244	T
29	30	475	T
30	1	582	T
30	2	358	T
30	3	299	F
30	4	298	T
30	5	431	T
30	6	403	T
30	7	369	T
30	8	410	T
30	9	529	T
30	10	256	T
30	11	582	T
30	12	369	T
30	13	278	T
30	14	508	T
30	15	256	T
30	16	263	F
30	17	476	T
30	18	491	T
30	19	495	T
30	20	336	T
30	21	252	T
30	22	571	T
30	23	322	F
30	24	285	T
30	25	456	F
30	26	342	T
30	27	368	T
30	28	232	T
30	29	367	T
30	30	275	T
31	1	265	T
31	2	257	T
31	3	297	T
31	4	255	T
31	5	297	T
31	6	412	T
31	7	370	T
31	8	336	T
31	9	300	T
31	10	250	T
31	11	276	T
31	12	238	T
31	13	278	T
31	14	228	T
31	15	429	T
31	16	235	T
31	17	286	T
31	18	489	T
31	19	332	T
31	20	443	F
31	21	279	T
31	22	516	T
31	23	212	T
31	24	237	T
31	25	263	F
31	26	524	T
31	27	347	T
31	28	268	T
31	29	455	T
31	30	530	T
32	1	432	T
32	2	374	T
32	3	382	F
32	4	308	T
32	5	337	T
32	6	455	T
32	7	382	T
32	8	397	T
32	9	419	T
32	10	260	T
32	11	276	T
32	12	302	T
32	13	496	T
32	14	304	F
32	15	350	T
32	16	554	T
32	17	364	T
32	18	482	T
32	19	394	T
32	20	317	T
32	21	544	T
32	22	234	T
32	23	534	T
32	24	245	T
32	25	305	T
32	26	397	T
32	27	388	T
32	28	259	T
32	29	409	T
32	30	484	T
33	1	234	T
33	2	436	T
33	3	245	T
33	4	341	T
33	5	338	T
33	6	304	T
33	7	369	T
33	8	458	T
33	9	366	T
33	10	253	T
33	11	409	T
33	12	239	T
33	13	494	T
33	14	251	T
33	15	361	T
33	16	446	T
33	17	363	T
33	18	267	T
33	19	269	T
33	20	267	T
33	21	262	T
33	22	260	T
33	23	284	F
33	24	231	F
33	25	321	T
33	26	334	T
33	27	356	T
33	28	284	T
33	29	388	T
33	30	266	T
34	1	348	T
34	2	198	T
34	3	308	T
34	4	474	T
34	5	295	T
34	6	264	T
34	7	535	T
34	8	524	F
34	9	406	T
34	10	368	T
34	11	556	T
34	12	395	T
34	13	259	T
34	14	387	T
34	15	535	F
34	16	229	T
34	17	455	F
34	18	233	T
34	19	546	T
34	20	571	T
34	21	258	T
34	22	394	T
34	23	242	T
34	24	382	T
34	25	293	T
34	26	231	T
34	27	258	T
34	28	318	T
34	29	221	T
34	30	374	T
35	1	250	T
35	2	393	T
35	3	459	T
35	4	387	T
35	5	491	T
