NAME: 	Egor_1day_lhand
Completed cycles:	36
Failed cycles:	1
1	1	512
1	2	258
1	3	220
1	4	300
1	5	335
1	6	236
1	7	298
1	8	320
1	9	239
1	10	345
1	11	331
1	12	261
1	13	367
1	14	420
1	15	359
1	16	297
1	17	195
1	18	323
1	19	352
1	20	248
1	21	235
1	22	401
1	23	355
1	24	341
1	25	457
1	26	372
1	27	368
1	28	250
1	29	241
1	30	390
2	1	406
2	2	389
2	3	357
2	4	376
2	5	368
2	6	370
2	7	332
2	8	322
2	9	235
2	10	226
2	11	274
2	12	224
2	13	260
2	14	199
2	15	402
2	16	258
2	17	309
2	18	239
2	19	274
2	20	405
2	21	245
2	22	243
2	23	269
2	24	335
2	25	360
2	26	587
2	27	324
2	28	255
2	29	223
2	30	411
3	1	280
3	2	300
3	3	469
3	4	325
3	5	386
3	6	373
3	7	389
3	8	251
3	9	231
3	10	258
3	11	481
3	12	279
3	13	297
3	14	353
3	15	383
3	16	406
3	17	295
3	18	401
3	19	258
3	20	339
3	21	299
3	22	535
3	23	308
3	24	332
3	25	228
3	26	259
3	27	214
3	28	236
3	29	367
3	30	274
4	1	319
4	2	261
4	3	322
4	4	368
4	5	278
4	6	321
4	7	289
4	8	281
4	9	361
4	10	441
4	11	406
4	12	195
4	13	293
4	14	319
4	15	313
4	16	190
4	17	213
4	18	220
4	19	369
4	20	275
4	21	204
4	22	294
4	23	228
4	24	328
4	25	400
4	26	255
4	27	391
4	28	362
4	29	232
4	30	241
5	1	357
5	2	465
5	3	214
5	4	230
5	5	220
5	6	211
5	7	386
5	8	229
5	9	233
5	10	399
5	11	325
5	12	307
5	13	237
5	14	410
5	15	240
5	16	351
5	17	279
5	18	384
5	19	313
5	20	319
5	21	463
5	22	239
5	23	394
5	24	253
5	25	474
5	26	361
5	27	247
5	28	211
5	29	219
5	30	201
6	1	343
6	2	364
6	3	296
6	4	233
6	5	397
6	6	489
6	7	240
6	8	385
6	9	310
6	10	243
6	11	269
6	12	238
6	13	307
6	14	343
6	15	283
6	16	223
6	17	247
6	18	334
6	19	291
6	20	381
6	21	361
6	22	362
6	23	254
6	24	352
6	25	267
6	26	318
6	27	327
6	28	328
6	29	408
6	30	337
7	1	324
7	2	230
7	3	280
7	4	316
7	5	295
7	6	432
7	7	278
7	8	268
7	9	386
7	10	310
7	11	325
7	12	211
7	13	340
7	14	404
7	15	295
7	16	311
7	17	349
7	18	329
7	19	445
7	20	317
7	21	228
7	22	345
7	23	289
7	24	200
7	25	324
7	26	472
7	27	179
7	28	281
7	29	313
7	30	267
8	1	392
8	2	264
8	3	246
8	4	301
8	5	329
8	6	281
8	7	526
8	8	320
8	9	383
8	10	386
8	11	308
8	12	273
8	13	256
8	14	380
8	15	212
8	16	372
8	17	323
8	18	202
8	19	235
8	20	266
8	21	319
8	22	310
8	23	204
8	24	210
8	25	349
8	26	515
8	27	326
8	28	342
8	29	311
8	30	343
9	1	308
9	2	314
9	3	324
9	4	355
9	5	406
9	6	228
9	7	321
9	8	279
9	9	295
9	10	277
9	11	293
9	12	385
9	13	292
9	14	231
9	15	254
9	16	287
9	17	247
9	18	286
9	19	254
9	20	344
9	21	257
9	22	318
9	23	578
9	24	332
9	25	256
9	26	389
9	27	462
9	28	386
9	29	315
9	30	334
10	1	320
10	2	404
10	3	247
10	4	305
10	5	463
10	6	321
10	7	271
10	8	296
10	9	244
10	10	402
