NAME: 	Alexey_4day_rhand
Completed cycles:	39
Failed cycles:	1
1	1	1111
1	2	276
1	3	248
1	4	209
1	5	187
1	6	255
1	7	258
1	8	245
1	9	213
1	10	244
1	11	278
1	12	269
1	13	209
1	14	200
1	15	281
1	16	230
1	17	292
1	18	260
1	19	287
1	20	340
1	21	230
1	22	232
1	23	342
1	24	292
1	25	292
1	26	290
1	27	239
1	28	245
1	29	241
1	30	284
2	1	271
2	2	220
2	3	227
2	4	247
2	5	262
2	6	307
2	7	229
2	8	333
2	9	216
2	10	207
2	11	297
2	12	267
2	13	307
2	14	223
2	15	367
2	16	399
2	17	239
2	18	223
2	19	230
2	20	236
2	21	235
2	22	210
2	23	236
2	24	311
2	25	441
2	26	377
2	27	272
2	28	383
2	29	263
2	30	316
3	1	200
3	2	250
3	3	199
3	4	250
3	5	307
3	6	313
3	7	272
3	8	298
3	9	256
3	10	296
3	11	255
3	12	298
3	13	249
3	14	272
3	15	320
3	16	243
3	17	273
3	18	236
3	19	230
3	20	277
3	21	241
3	22	212
3	23	297
3	24	259
3	25	263
3	26	276
3	27	241
3	28	242
3	29	225
3	30	229
4	1	289
4	2	248
4	3	221
4	4	328
4	5	358
4	6	204
4	7	222
4	8	305
4	9	218
4	10	230
4	11	268
4	12	252
4	13	238
4	14	369
4	15	347
4	16	269
4	17	366
4	18	369
4	19	216
4	20	326
4	21	382
4	22	294
4	23	197
4	24	279
4	25	337
4	26	369
4	27	224
4	28	229
4	29	302
4	30	236
5	1	272
5	2	368
5	3	287
5	4	398
5	5	185
5	6	211
5	7	371
5	8	264
5	9	217
5	10	285
5	11	264
5	12	229
5	13	267
5	14	285
5	15	394
5	16	267
5	17	212
5	18	214
5	19	216
5	20	206
5	21	212
5	22	263
5	23	216
5	24	260
5	25	246
5	26	352
5	27	213
5	28	296
5	29	209
5	30	296
6	1	278
6	2	250
6	3	170
6	4	201
6	5	231
6	6	314
6	7	274
6	8	237
6	9	191
6	10	186
6	11	197
6	12	299
6	13	345
6	14	389
6	15	221
6	16	208
6	17	230
6	18	295
6	19	231
6	20	273
6	21	206
6	22	319
6	23	237
6	24	286
6	25	270
6	26	205
6	27	292
6	28	278
6	29	253
6	30	283
7	1	324
7	2	230
7	3	243
7	4	243
7	5	370
7	6	226
7	7	304
7	8	298
7	9	352
7	10	261
7	11	232
7	12	441
7	13	283
7	14	283
7	15	334
7	16	232
7	17	280
7	18	244
7	19	293
7	20	266
7	21	223
7	22	272
7	23	280
7	24	252
7	25	322
7	26	219
7	27	252
7	28	223
7	29	239
7	30	292
8	1	226
8	2	272
8	3	236
8	4	210
8	5	247
8	6	292
8	7	323
8	8	218
8	9	327
8	10	239
8	11	243
8	12	235
8	13	229
8	14	444
8	15	219
8	16	247
8	17	195
8	18	246
8	19	310
8	20	281
8	21	372
8	22	217
8	23	277
8	24	219
8	25	220
8	26	237
8	27	219
8	28	232
8	29	244
8	30	216
9	1	354
9	2	264
9	3	310
9	4	313
9	5	232
9	6	207
9	7	312
9	8	270
9	9	287
9	10	249
9	11	269
9	12	367
9	13	253
9	14	294
9	15	249
9	16	356
9	17	293
9	18	237
9	19	212
9	20	249
9	21	272
9	22	259
9	23	211
9	24	228
9	25	279
9	26	324
9	27	266
9	28	250
9	29	257
9	30	232
10	1	248
10	2	356
10	3	206
10	4	248
10	5	273
10	6	307
10	7	240
10	8	237
10	9	265
10	10	402
10	11	228
10	12	298
10	13	228
10	14	323
10	15	225
10	16	293
10	17	316
10	18	228
10	19	249
10	20	203
10	21	303
10	22	210
10	23	289
10	24	247
10	25	216
10	26	277
10	27	279
10	28	282
10	29	289
10	30	368
11	1	243
11	2	212
11	3	284
11	4	286
11	5	332
11	6	233
11	7	194
11	8	288
11	9	249
11	10	262
11	11	311
11	12	226
11	13	300
11	14	232
11	15	400
11	16	354
11	17	243
11	18	234
11	19	216
11	20	263
11	21	296
